question_id,subject,grade,question_type,stem,options,correct_answer,explanation,difficulty_level,knowledge_points,source,source_type,year,tags,score,time_limit
bio_auto_0331,生物,Grade 7,fill_blank,光合作用的反应式是______ (变式11),,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,3,photosynthesis,智能生成,exercise,2024,biology|自动生成,5,3
bio_auto_0332,生物,Grade 8,fill_blank,光合作用的反应式是______ (变式12),,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,2,photosynthesis,智能生成,exercise,2024,biology|自动生成,5,3
bio_auto_0333,生物,Grade 9,fill_blank,光合作用的反应式是______ (变式13),,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,1,photosynthesis,智能生成,exercise,2024,biology|自动生成,4,1
bio_auto_0334,生物,Grade 7,fill_blank,光合作用的反应式是______ (变式14),,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,1,photosynthesis,智能生成,exercise,2024,biology|自动生成,4,2
bio_auto_0335,生物,Grade 8,fill_blank,光合作用的反应式是______ (变式15),,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,2,photosynthesis,智能生成,exercise,2024,biology|自动生成,5,1
bio_auto_0336,生物,Grade 7,fill_blank,光合作用的反应式是______ (变式16),,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,2,photosynthesis,智能生成,exercise,2024,biology|自动生成,5,1
bio_auto_0337,生物,Grade 9,fill_blank,光合作用的反应式是______ (变式17),,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,3,photosynthesis,智能生成,exercise,2024,biology|自动生成,4,1
bio_auto_0338,生物,Grade 9,fill_blank,光合作用的反应式是______ (变式18),,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,4,photosynthesis,智能生成,exercise,2024,biology|自动生成,5,3
bio_auto_0339,生物,Grade 7,fill_blank,光合作用的反应式是______ (变式19),,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,3,photosynthesis,智能生成,exercise,2024,biology|自动生成,3,1
bio_auto_0340,生物,Grade 7,fill_blank,光合作用的反应式是______ (变式20),,CO₂ + H₂O → C₆H₁₂O₆ + O₂,植物通过光合作用将二氧化碳和水转化为葡萄糖和氧气,1,photosynthesis,智能生成,exercise,2024,biology|自动生成,5,3
bio_auto_0341,生物,Grade 9,fill_blank,DNA的全称是______,,脱氧核糖核酸,DNA是遗传物质的主要载体,3,dna_structure,智能生成,exercise,2024,biology|自动生成,5,2
bio_auto_0342,生物,Grade 7,fill_blank,DNA的全称是______ (变式2),,脱氧核糖核酸,DNA是遗传物质的主要载体,2,dna_structure,智能生成,exercise,2024,biology|自动生成,3,3
bio_auto_0343,生物,Grade 7,fill_blank,DNA的全称是______ (变式3),,脱氧核糖核酸,DNA是遗传物质的主要载体,3,dna_structure,智能生成,exercise,2024,biology|自动生成,3,1
bio_auto_0344,生物,Grade 8,fill_blank,DNA的全称是______ (变式4),,脱氧核糖核酸,DNA是遗传物质的主要载体,3,dna_structure,智能生成,exercise,2024,biology|自动生成,3,1
bio_auto_0345,生物,Grade 7,fill_blank,DNA的全称是______ (变式5),,脱氧核糖核酸,DNA是遗传物质的主要载体,4,dna_structure,智能生成,exercise,2024,biology|自动生成,4,2
bio_auto_0346,生物,Grade 8,fill_blank,DNA的全称是______ (变式6),,脱氧核糖核酸,DNA是遗传物质的主要载体,4,dna_structure,智能生成,exercise,2024,biology|自动生成,3,1
bio_auto_0347,生物,Grade 9,fill_blank,DNA的全称是______ (变式7),,脱氧核糖核酸,DNA是遗传物质的主要载体,1,dna_structure,智能生成,exercise,2024,biology|自动生成,4,3
bio_auto_0348,生物,Grade 7,fill_blank,DNA的全称是______ (变式8),,脱氧核糖核酸,DNA是遗传物质的主要载体,2,dna_structure,智能生成,exercise,2024,biology|自动生成,4,2
bio_auto_0349,生物,Grade 8,fill_blank,DNA的全称是______ (变式9),,脱氧核糖核酸,DNA是遗传物质的主要载体,4,dna_structure,智能生成,exercise,2024,biology|自动生成,5,2
bio_auto_0350,生物,Grade 7,fill_blank,DNA的全称是______ (变式10),,脱氧核糖核酸,DNA是遗传物质的主要载体,4,dna_structure,智能生成,exercise,2024,biology|自动生成,4,3
bio_auto_0351,生物,Grade 8,fill_blank,DNA的全称是______ (变式11),,脱氧核糖核酸,DNA是遗传物质的主要载体,4,dna_structure,智能生成,exercise,2024,biology|自动生成,3,2
bio_auto_0352,生物,Grade 8,fill_blank,DNA的全称是______ (变式12),,脱氧核糖核酸,DNA是遗传物质的主要载体,2,dna_structure,智能生成,exercise,2024,biology|自动生成,4,1
bio_auto_0353,生物,Grade 9,fill_blank,DNA的全称是______ (变式13),,脱氧核糖核酸,DNA是遗传物质的主要载体,3,dna_structure,智能生成,exercise,2024,biology|自动生成,4,2
bio_auto_0354,生物,Grade 8,fill_blank,DNA的全称是______ (变式14),,脱氧核糖核酸,DNA是遗传物质的主要载体,4,dna_structure,智能生成,exercise,2024,biology|自动生成,5,3
bio_auto_0355,生物,Grade 9,fill_blank,DNA的全称是______ (变式15),,脱氧核糖核酸,DNA是遗传物质的主要载体,2,dna_structure,智能生成,exercise,2024,biology|自动生成,5,2
bio_auto_0356,生物,Grade 8,fill_blank,DNA的全称是______ (变式16),,脱氧核糖核酸,DNA是遗传物质的主要载体,4,dna_structure,智能生成,exercise,2024,biology|自动生成,4,3
bio_auto_0357,生物,Grade 9,fill_blank,DNA的全称是______ (变式17),,脱氧核糖核酸,DNA是遗传物质的主要载体,2,dna_structure,智能生成,exercise,2024,biology|自动生成,3,2
bio_auto_0358,生物,Grade 9,fill_blank,DNA的全称是______ (变式18),,脱氧核糖核酸,DNA是遗传物质的主要载体,4,dna_structure,智能生成,exercise,2024,biology|自动生成,3,2
bio_auto_0359,生物,Grade 9,fill_blank,DNA的全称是______ (变式19),,脱氧核糖核酸,DNA是遗传物质的主要载体,1,dna_structure,智能生成,exercise,2024,biology|自动生成,3,2
bio_auto_0360,生物,Grade 8,fill_blank,DNA的全称是______ (变式20),,脱氧核糖核酸,DNA是遗传物质的主要载体,4,dna_structure,智能生成,exercise,2024,biology|自动生成,3,1
