subject,grade,chapter,knowledge_point,description,keywords,difficulty_level,importance_level
英语,初一,语法基础,一般将来时,掌握一般将来时的用法和构成,"一般将来时,will,be going to",2,4
英语,初一,语法基础,形容词比较级,掌握形容词比较级的变化规则,"形容词,比较级,最高级,规则变化",2,4
英语,初一,词汇,基础词汇,掌握基础词汇的拼写和用法,"基础词汇,拼写,发音,词义",1,5
英语,初二,语法进阶,现在进行时,掌握现在进行时的用法和构成,"现在进行时,be doing,正在进行",2,4
英语,初二,语法进阶,过去进行时,掌握过去进行时的用法和构成,"过去进行时,was/were doing",3,3
英语,初二,语法进阶,情态动词,掌握情态动词的用法,"情态动词,can,may,must,should",3,4
英语,初三,语法高级,现在完成时,掌握现在完成时的用法和构成,"现在完成时,have/has done,过去分词",3,4
英语,初三,语法高级,被动语态,掌握被动语态的构成和用法,"被动语态,be done,by",4,4
英语,初三,语法高级,定语从句,掌握定语从句的用法,"定语从句,关系代词,关系副词",4,4
物理,初二,力学基础,弹力,理解弹力的概念和胡克定律,"弹力,胡克定律,弹性形变,弹簧",2,4
物理,初二,力学基础,摩擦力,理解摩擦力的概念和影响因素,"摩擦力,静摩擦,滑动摩擦,摩擦系数",2,4
物理,初二,压强,压强,理解压强的概念和计算公式,"压强,压力,受力面积,帕斯卡",2,4
物理,初二,压强,液体压强,理解液体压强的特点和规律,"液体压强,深度,密度,连通器",3,4
物理,初三,电学,电流,理解电流的概念和测量,"电流,电荷,安培,电流表",2,4
物理,初三,电学,电压,理解电压的概念和测量,"电压,电势差,伏特,电压表",2,4
物理,初三,电学,电阻,理解电阻的概念和欧姆定律,"电阻,欧姆定律,导体,绝缘体",3,4
物理,初三,电学,串联电路,掌握串联电路的特点和计算,"串联,电流相等,电压分配",3,4
物理,初三,电学,并联电路,掌握并联电路的特点和计算,"并联,电压相等,电流分配",3,4
化学,初三,物质的变化,化学方程式,掌握化学方程式的书写和配平,"化学方程式,配平,质量守恒",3,4
化学,初三,空气,空气的成分,了解空气的主要成分,"空气,氮气,氧气,二氧化碳",1,3
化学,初三,空气,氧气的性质,掌握氧气的物理性质和化学性质,"氧气,助燃,氧化反应",2,4
化学,初三,水,水的组成,了解水的组成和电解,"水,氢元素,氧元素,电解",2,4
化学,初三,水,水的净化,了解水的净化方法,"水的净化,过滤,蒸馏,吸附",2,3
化学,初三,碳和碳的化合物,碳的性质,掌握碳的物理性质和化学性质,"碳,金刚石,石墨,活性炭",2,4
化学,初三,碳和碳的化合物,二氧化碳,掌握二氧化碳的性质和制法,"二氧化碳,温室效应,碳酸钙",2,4
生物,初一,细胞,细胞膜,了解细胞膜的结构和功能,"细胞膜,选择透过性,保护",2,3
生物,初一,细胞,细胞质,了解细胞质的组成和功能,"细胞质,细胞器,新陈代谢",2,3
生物,初一,细胞,细胞核,了解细胞核的结构和功能,"细胞核,遗传物质,染色体",2,4
生物,初一,生物体的结构层次,组织,理解组织的概念和类型,"组织,上皮组织,结缔组织,肌肉组织",2,3
生物,初一,生物体的结构层次,器官,理解器官的概念和功能,"器官,系统,功能",2,3
生物,初二,遗传与变异,基因,理解基因的概念和作用,"基因,遗传,DNA,染色体",3,4
生物,初二,遗传与变异,显性性状和隐性性状,理解显性性状和隐性性状的概念,"显性性状,隐性性状,基因型,表现型",3,4
生物,初二,进化,自然选择,理解自然选择的概念和过程,"自然选择,适者生存,进化",3,4
历史,初一,中国古代史,隋唐,了解隋唐时期的历史发展,"隋朝,唐朝,统一,繁荣",2,4
历史,初一,中国古代史,宋元,了解宋元时期的历史发展,"宋朝,元朝,经济,文化",2,3
历史,初一,中国古代史,明清,了解明清时期的历史发展,"明朝,清朝,专制,闭关",2,4
历史,初二,中国近代史,鸦片战争,了解鸦片战争的背景和影响,"鸦片战争,不平等条约,近代史",2,4
历史,初二,中国近代史,太平天国运动,了解太平天国运动的过程和意义,"太平天国,农民起义,反封建",2,3
历史,初二,中国近代史,洋务运动,了解洋务运动的内容和影响,"洋务运动,自强,求富,近代化",2,3
历史,初二,中国近代史,戊戌变法,了解戊戌变法的内容和失败原因,"戊戌变法,维新,改革,失败",2,3
历史,初三,中国现代史,辛亥革命,了解辛亥革命的过程和意义,"辛亥革命,民主革命,中华民国",2,4
历史,初三,中国现代史,五四运动,了解五四运动的过程和意义,"五四运动,新文化运动,民主科学",2,4
历史,初三,中国现代史,中国共产党成立,了解中国共产党成立的历史背景,"中国共产党,马克思主义,工人阶级",2,4
地理,初一,地球和地图,经纬网,掌握经纬网的概念和应用,"经纬网,经线,纬线,坐标",2,4
地理,初一,地球和地图,等高线地形图,掌握等高线地形图的判读,"等高线,地形,山峰,山谷",3,4
地理,初一,陆地和海洋,大洲和大洋,了解世界大洲和大洋的分布,"大洲,大洋,分布,面积",1,3
地理,初一,陆地和海洋,板块构造学说,理解板块构造学说的基本内容,"板块,地壳运动,地震,火山",3,4
地理,初二,天气与气候,天气,理解天气的概念和要素,"天气,气温,降水,风力",2,3
地理,初二,天气与气候,气候,理解气候的概念和影响因素,"气候,纬度,海陆,地形",2,4
地理,初二,居民与聚落,人口,了解世界人口的分布和增长,"人口,分布,增长,密度",2,3
地理,初二,居民与聚落,聚落,理解聚落的概念和类型,"聚落,城市,乡村,分布",2,3
政治,初一,思想品德,自尊自信,培养自尊自信的品质,"自尊,自信,自我价值",1,3
政治,初一,思想品德,自立自强,培养自立自强的精神,"自立,自强,独立,奋斗",1,3
政治,初一,思想品德,诚实守信,培养诚实守信的品质,"诚实,守信,诚信,道德",1,4
政治,初二,法律基础,法律的特征,理解法律的基本特征,"法律,强制性,规范性,普遍性",2,4
政治,初二,法律基础,宪法,了解宪法的地位和作用,"宪法,根本法,最高法律效力",2,4
政治,初二,法律基础,未成年人保护法,了解未成年人保护法的内容,"未成年人,保护,权利,义务",2,4
政治,初三,经济生活,市场经济,理解市场经济的基本特征,"市场经济,供求关系,价格,竞争",3,4
政治,初三,经济生活,消费,了解消费的概念和类型,"消费,生产,需求,供给",2,3
政治,初三,经济生活,投资理财,了解投资理财的基本知识,"投资,理财,储蓄,保险",3,3
