question_id,subject,grade,question_type,stem,options,correct_answer,explanation,difficulty_level,knowledge_points,source,source_type,year,tags,score,time_limit
chin_auto_0228,语文,Grade 9,choice,默认题干 (变式29),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,2
chin_auto_0229,语文,Grade 7,choice,默认题干 (变式30),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,2
chin_auto_0230,语文,Grade 7,choice,默认题干 (变式31),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,3
chin_auto_0231,语文,Grade 8,choice,默认题干 (变式32),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,2
chin_auto_0232,语文,Grade 8,choice,默认题干 (变式33),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,3
chin_auto_0233,语文,Grade 9,choice,默认题干 (变式34),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,3
chin_auto_0234,语文,Grade 8,choice,默认题干 (变式35),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,3
chin_auto_0235,语文,Grade 9,choice,默认题干 (变式36),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,2
chin_auto_0236,语文,Grade 8,choice,默认题干 (变式37),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,1
chin_auto_0237,语文,Grade 9,choice,默认题干 (变式38),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,2
chin_auto_0238,语文,Grade 7,choice,默认题干 (变式39),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,2
chin_auto_0239,语文,Grade 8,choice,默认题干 (变式40),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,2
chin_auto_0240,语文,Grade 8,choice,默认题干 (变式41),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,2
chin_auto_0241,语文,Grade 8,choice,默认题干 (变式42),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,2
chin_auto_0242,语文,Grade 7,choice,默认题干 (变式43),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,3
chin_auto_0243,语文,Grade 9,choice,默认题干 (变式44),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,3,1
chin_auto_0244,语文,Grade 8,choice,默认题干 (变式45),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,1,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,2
chin_auto_0245,语文,Grade 8,choice,默认题干 (变式46),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,3,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,2
chin_auto_0246,语文,Grade 8,choice,默认题干 (变式47),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,3
chin_auto_0247,语文,Grade 9,choice,默认题干 (变式48),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,2,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,1
chin_auto_0248,语文,Grade 9,choice,默认题干 (变式49),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,4,1
chin_auto_0249,语文,Grade 8,choice,默认题干 (变式50),A. 选项1|B. 选项2|C. 选项3|D. 选项4,A,默认解析,4,literary_knowledge,智能生成,exercise,2024,chinese|自动生成,5,1
